k,BubbleSort partiel,BuildHeap / Remove,HeapSort
561,39.4230000,0.5330000,2.9380000
562,39.0660000,0.6910000,2.9800000
563,38.0420000,0.5630000,2.8950000
564,38.9930000,0.5340000,2.9650000
565,41.2620000,0.7450000,3.2060000
566,38.1030000,0.5360000,4.2010000
567,40.9090000,0.5360000,2.9120000
568,41.8130000,0.6770000,2.9660000
569,39.3490000,0.5370000,4.1610000
570,40.1850000,0.5390000,2.9260000
571,43.0770000,0.5820000,3.0610000
572,44.0890000,0.6030000,3.2000000
573,39.7480000,0.5430000,3.4050000
574,40.5090000,0.7600000,3.2190000
575,40.7620000,0.5650000,3.0340000
576,40.4800000,0.7720000,2.9780000
577,40.2260000,0.5490000,3.1520000
578,43.4260000,0.6870000,3.1970000
579,41.3920000,0.5400000,3.0030000
580,42.4360000,0.7310000,3.0260000
581,42.1110000,0.7790000,3.2940000
582,40.8220000,0.5910000,3.0560000
583,41.5400000,0.5440000,3.1160000
584,43.0210000,0.7700000,3.9260000
585,45.2290000,0.5950000,4.1990000
586,40.0040000,0.8550000,3.0620000
587,40.2280000,0.5720000,2.9680000
588,39.9940000,0.7500000,2.9940000
589,42.0230000,0.7600000,3.0010000
590,42.5470000,0.6030000,3.0420000
591,41.7650000,0.7670000,2.9700000
592,43.8230000,0.6860000,3.5590000
593,42.7050000,0.5720000,2.9980000
594,42.8900000,0.5840000,3.0170000
595,44.5980000,0.6230000,3.0180000
596,42.0870000,0.8330000,2.9890000
597,43.5690000,0.6200000,3.1590000
598,41.3150000,0.5960000,3.0970000
599,46.8670000,0.6360000,3.2400000
600,44.3940000,0.6170000,3.1250000
601,40.9650000,0.5540000,3.1490000
602,43.2890000,0.5510000,3.0020000
603,44.9040000,0.5540000,3.0100000
604,42.4140000,0.5530000,3.0030000
605,43.2740000,0.5810000,3.0770000
606,42.9860000,0.6380000,3.0830000
607,46.0890000,0.7830000,3.5140000
608,43.0750000,0.5860000,3.2650000
609,41.8690000,0.5540000,3.2210000
610,44.7950000,0.9170000,3.1110000
611,43.2250000,0.5550000,3.1430000
612,43.2640000,0.6300000,2.9920000
613,43.6370000,0.5570000,3.0000000
614,44.4410000,0.5580000,3.0010000
615,43.6610000,0.5960000,3.0240000
616,46.3390000,0.5590000,2.9130000
617,41.8980000,0.5830000,3.0610000
618,42.8650000,0.8840000,3.5140000
619,43.1280000,0.6110000,2.8620000
620,43.6320000,0.5930000,2.9940000
621,46.1050000,0.6990000,3.1120000
622,44.4170000,0.5660000,3.1220000
623,43.9320000,0.5660000,3.0200000
624,45.5730000,0.5620000,3.0750000
625,47.7670000,0.7510000,3.2860000
626,47.1260000,0.5630000,2.9420000
627,45.4060000,0.5640000,3.0090000
628,45.5420000,0.5660000,3.1050000
629,44.5280000,0.5660000,3.2220000
630,45.1320000,0.5640000,3.2760000
631,44.9690000,0.5700000,3.1350000
632,44.2990000,0.5670000,3.1040000
633,44.9030000,0.6200000,2.9960000
634,44.3250000,0.5660000,3.0150000
635,44.6050000,0.5670000,2.9990000
636,44.6700000,0.5910000,2.9790000
637,44.1420000,0.6650000,3.0800000
638,46.8110000,0.8280000,2.9880000
639,45.5470000,0.5730000,3.0000000
640,47.4460000,0.5690000,2.9990000
641,47.2820000,0.5730000,3.0130000
642,46.7080000,0.6650000,3.3720000
643,47.3010000,0.5730000,3.1090000
644,47.6050000,0.6080000,3.1390000
645,46.0000000,0.5710000,3.1940000
646,46.0050000,0.6070000,3.2240000
647,45.2200000,0.6340000,3.1180000
648,44.9830000,0.5750000,3.2430000
649,47.2230000,0.7040000,2.9320000
650,44.9230000,0.5730000,3.1170000
651,47.3940000,0.6250000,3.4040000
652,49.0060000,0.6400000,2.9740000
653,49.1520000,0.5800000,2.9960000
654,47.4590000,0.5750000,3.0070000
655,45.7900000,0.5780000,3.0010000
656,46.0730000,0.5790000,4.1520000
657,47.9450000,0.6230000,3.1650000
658,46.1090000,0.5790000,3.2360000
659,46.3160000,0.6130000,3.0940000
660,45.8420000,0.5790000,3.1970000
661,46.4260000,0.7130000,3.0990000
662,48.6770000,0.7380000,3.0190000
663,49.5230000,0.6560000,3.0980000
664,46.4050000,0.5870000,3.0010000
665,46.8990000,0.5830000,2.9970000
666,47.2220000,0.6140000,2.9990000
667,48.4440000,0.6820000,3.4690000
668,46.1550000,0.5890000,3.1150000
669,46.5130000,0.6230000,3.0880000
670,48.4870000,0.5830000,2.9280000
671,45.4540000,0.6240000,3.0130000
672,46.7670000,0.6510000,3.1230000
673,50.1740000,0.5850000,3.0240000
674,47.3060000,0.5860000,3.0930000
675,50.1990000,0.7060000,3.4380000
676,46.8920000,0.5970000,3.0270000
677,47.5110000,0.7530000,3.5110000
678,48.8090000,0.9870000,3.7460000
679,48.7550000,0.5930000,3.2100000
680,50.0280000,0.6900000,3.5650000
681,48.2220000,0.5870000,3.0020000
682,51.2140000,0.6120000,3.0740000
683,47.3660000,0.5980000,3.0990000
684,51.0060000,0.5990000,3.0760000
685,48.4130000,0.6000000,3.0870000
686,48.5760000,0.6000000,3.0410000
687,49.9020000,0.6960000,3.8200000
688,53.8170000,0.7030000,3.9720000
689,54.0480000,0.6420000,3.7400000
690,54.3520000,0.6000000,3.0090000
691,48.9290000,0.6030000,3.2090000
692,48.9000000,0.6030000,3.1030000
693,49.2670000,0.6060000,2.8830000
694,48.3740000,0.7080000,3.5440000
