k,BubbleSort partiel,BuildHeap / Remove,HeapSort
502,4441889,13493,124199
503,4449866,13504,124199
504,4457839,13515,124199
505,4465808,13527,124199
506,4473774,13539,124199
507,4481737,13550,124199
508,4489697,13563,124199
509,4497651,13575,124199
510,4505602,13587,124199
511,4513550,13599,124199
512,4521495,13610,124199
513,4529438,13621,124199
514,4537379,13633,124199
515,4545318,13645,124199
516,4553255,13657,124199
517,4561190,13669,124199
518,4569125,13682,124199
519,4577055,13695,124199
520,4584983,13708,124199
521,4592908,13720,124199
522,4600829,13732,124199
523,4608748,13744,124199
524,4616664,13755,124199
525,4624578,13767,124199
526,4632490,13779,124199
527,4640399,13791,124199
528,4648305,13804,124199
529,4656206,13817,124199
530,4664103,13828,124199
531,4672000,13840,124199
532,4679892,13852,124199
533,4687782,13865,124199
534,4695667,13877,124199
535,4703547,13890,124199
536,4711424,13902,124199
537,4719298,13915,124199
538,4727170,13927,124199
539,4735040,13939,124199
540,4742908,13951,124199
541,4750774,13963,124199
542,4758639,13974,124199
543,4766502,13986,124199
544,4774363,13998,124199
545,4782222,14010,124199
546,4790077,14022,124199
547,4797928,14033,124199
548,4805777,14044,124199
549,4813624,14056,124199
550,4821471,14067,124199
551,4829316,14080,124199
552,4837155,14092,124199
553,4844991,14104,124199
554,4852820,14116,124199
555,4860643,14127,124199
556,4868465,14139,124199
557,4876285,14151,124199
558,4884101,14163,124199
559,4891914,14175,124199
560,4899724,14185,124199
561,4907530,14197,124199
562,4915329,14209,124199
563,4923125,14221,124199
564,4930917,14233,124199
565,4938705,14245,124199
566,4946490,14258,124199
567,4954272,14270,124199
568,4962051,14281,124199
569,4969829,14293,124199
570,4977601,14305,124199
571,4985369,14316,124199
572,4993136,14327,124199
573,5000902,14339,124199
574,5008664,14352,124199
575,5016423,14365,124199
576,5024179,14377,124199
577,5031931,14388,124199
578,5039681,14400,124199
579,5047428,14412,124199
580,5055170,14423,124199
581,5062912,14435,124199
582,5070654,14448,124199
583,5078393,14460,124199
584,5086129,14471,124199
585,5093860,14483,124199
586,5101590,14495,124199
587,5109317,14507,124199
588,5117039,14520,124199
589,5124759,14532,124199
590,5132477,14544,124199
591,5140192,14556,124199
592,5147905,14568,124199
593,5155617,14580,124199
594,5163322,14592,124199
595,5171023,14604,124199
596,5178723,14616,124199
597,5186421,14629,124199
598,5194117,14640,124199
599,5201811,14652,124199
600,5209502,14663,124199
601,5217191,14676,124199
602,5224879,14686,124199
603,5232562,14698,124199
604,5240242,14710,124199
605,5247921,14721,124199
606,5255597,14733,124199
607,5263270,14746,124199
608,5270942,14759,124199
609,5278614,14771,124199
610,5286282,14783,124199
611,5293949,14795,124199
612,5301612,14807,124199
613,5309273,14819,124199
614,5316932,14832,124199
615,5324587,14844,124199
616,5332241,14857,124199
617,5339892,14869,124199
618,5347542,14881,124199
619,5355190,14893,124199
620,5362834,14904,124199
621,5370475,14917,124199
622,5378112,14928,124199
623,5385747,14941,124199
624,5393379,14954,124199
625,5401011,14966,124199
626,5408640,14978,124199
627,5416264,14989,124199
628,5423883,15002,124199
629,5431501,15014,124199
630,5439118,15026,124199
631,5446730,15038,124199
632,5454341,15048,124199
633,5461946,15059,124199
634,5469549,15071,124199
635,5477150,15083,124199
636,5484747,15095,124199
637,5492342,15107,124199
638,5499932,15119,124199
639,5507520,15130,124199
640,5515105,15142,124199
641,5522687,15153,124199
642,5530268,15165,124199
643,5537848,15177,124199
644,5545422,15189,124199
645,5552993,15202,124199
646,5560561,15214,124199
647,5568127,15226,124199
648,5575690,15238,124199
649,5583250,15250,124199
650,5590806,15262,124199
651,5598357,15275,124199
652,5605907,15287,124199
653,5613453,15299,124199
654,5620995,15311,124199
655,5628536,15322,124199
656,5636076,15335,124199
657,5643615,15348,124199
658,5651152,15359,124199
659,5658684,15371,124199
660,5666213,15383,124199
661,5673741,15395,124199
662,5681268,15408,124199
663,5688791,15420,124199
664,5696312,15432,124199
665,5703832,15443,124199
666,5711351,15456,124199
667,5718870,15468,124199
668,5726388,15480,124199
669,5733906,15493,124199
670,5741422,15504,124199
671,5748934,15516,124199
672,5756443,15527,124199
673,5763950,15539,124199
674,5771453,15551,124199
675,5778953,15564,124199
676,5786450,15576,124199
677,5793943,15588,124199
678,5801435,15600,124199
679,5808923,15612,124199
680,5816409,15623,124199
681,5823893,15636,124199
682,5831373,15648,124199
683,5838850,15660,124199
684,5846324,15672,124199
685,5853794,15683,124199
686,5861261,15695,124199
687,5868724,15706,124199
688,5876187,15718,124199
689,5883646,15730,124199
690,5891103,15742,124199
691,5898558,15755,124199
692,5906010,15768,124199
693,5913460,15780,124199
694,5920909,15792,124199
695,5928355,15803,124199
696,5935797,15814,124199
697,5943238,15826,124199
698,5950676,15837,124199
699,5958111,15847,124199
700,5965545,15859,124199
701,5972977,15871,124199
702,5980408,15883,124199
703,5987839,15895,124199
704,5995267,15907,124199
705,6002693,15919,124199
706,6010117,15931,124199
707,6017540,15942,124199
708,6024957,15954,124199
709,6032370,15964,124199
710,6039781,15975,124199
711,6047185,15986,124199
712,6054589,15999,124199
713,6061991,16011,124199
714,6069391,16024,124199
715,6076789,16036,124199
716,6084185,16048,124199
717,6091579,16060,124199
718,6098969,16072,124199
719,6106351,16084,124199
720,6113732,16096,124199
721,6121111,16107,124199
722,6128487,16119,124199
723,6135857,16131,124199
724,6143220,16144,124199
725,6150581,16156,124199
726,6157940,16168,124199
727,6165298,16179,124199
728,6172655,16190,124199
729,6180009,16201,124199
730,6187361,16213,124199
731,6194708,16225,124199
732,6202052,16238,124199
733,6209396,16249,124199
734,6216734,16262,124199
735,6224070,16274,124199
736,6231404,16287,124199
737,6238735,16299,124199
738,6246065,16311,124199
739,6253393,16323,124199
740,6260720,16335,124199
741,6268044,16348,124199
742,6275368,16360,124199
743,6282690,16372,124199
744,6290007,16385,124199
745,6297323,16398,124199
746,6304638,16410,124199
747,6311951,16422,124199
748,6319261,16435,124199
749,6326571,16447,124199
750,6333880,16459,124199
751,6341187,16471,124199
752,6348490,16483,124199
753,6355790,16495,124199
754,6363088,16507,124199
755,6370382,16519,124199
756,6377674,16531,124199
757,6384966,16543,124199
758,6392258,16555,124199
759,6399550,16567,124199
760,6406842,16579,124199
761,6414130,16590,124199
762,6421414,16602,124199
763,6428694,16614,124199
764,6435971,16626,124199
765,6443248,16639,124199
766,6450525,16652,124199
767,6457801,16664,124199
768,6465076,16676,124199
769,6472349,16687,124199
770,6479620,16699,124199
771,6486888,16710,124199
772,6494152,16721,124199
773,6501412,16733,124199
774,6508667,16745,124199
775,6515919,16757,124199
776,6523169,16767,124199
777,6530415,16779,124199
778,6537659,16791,124199
779,6544900,16802,124199
780,6552138,16815,124199
781,6559371,16827,124199
782,6566601,16839,124199
783,6573827,16851,124199
784,6581048,16864,124199
785,6588268,16877,124199
786,6595487,16888,124199
787,6602702,16900,124199
788,6609914,16912,124199
789,6617123,16924,124199
790,6624328,16936,124199
791,6631532,16948,124199
792,6638733,16960,124199
793,6645931,16972,124199
794,6653127,16984,124199
795,6660323,16995,124199
796,6667516,17007,124199
797,6674704,17019,124199
798,6681887,17031,124199
799,6689067,17043,124199
800,6696245,17055,124199
801,6703421,17067,124199
802,6710594,17078,124199
803,6717764,17089,124199
804,6724934,17101,124199
805,6732099,17114,124199
806,6739263,17126,124199
807,6746425,17138,124199
808,6753584,17150,124199
809,6760742,17161,124199
810,6767896,17174,124199
811,6775049,17187,124199
812,6782200,17198,124199
813,6789351,17210,124199
814,6796500,17222,124199
815,6803648,17234,124199
816,6810796,17246,124199
817,6817943,17258,124199
818,6825087,17270,124199
